country,continent,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Afghanistan,Asia,2/22/2021,0,0,,,0,0,,,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,2/23/2021,,,,1367,,,,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,2/24/2021,,,,1367,,,,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,2/25/2021,,,,1367,,,,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,2/26/2021,,,,1367,,,,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,2/27/2021,,,,1367,,,,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,2/28/2021,8200,8200,,1367,0.02,0.02,,35,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,3/1/2021,,,,1580,,,,41,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,3/2/2021,,,,1794,,,,46,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,3/3/2021,,,,2008,,,,52,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,3/4/2021,,,,2221,,,,57,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,3/5/2021,,,,2435,,,,63,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,3/6/2021,,,,2649,,,,68,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,Asia,3/7/2021,,,,2862,,,,74,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech"
